IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.156.56,2053,TRUE,AMS,Europe,Amsterdam,286 ms,777 kB/s
158.178.129.114,2053,TRUE,TLV,Middle East,Tel Aviv,244 ms,720 kB/s
158.178.153.80,2096,TRUE,AMS,Europe,Amsterdam,288 ms,712 kB/s
144.22.252.124,443,TRUE,GRU,South America,S?o Paulo,384 ms,571 kB/s
158.101.199.249,8443,TRUE,AMS,Europe,Amsterdam,293 ms,460 kB/s
132.226.163.224,8443,TRUE,GRU,South America,S?o Paulo,374 ms,454 kB/s
89.168.43.31,8443,TRUE,CDG,Europe,Paris,250 ms,323 kB/s
79.72.75.198,2053,TRUE,LHR,Europe,London,242 ms,300 kB/s
143.47.243.144,2053,TRUE,LHR,Europe,London,245 ms,272 kB/s
192.18.159.129,443,TRUE,YYZ,North America,Toronto,250 ms,230 kB/s
158.179.206.143,443,TRUE,ARN,Europe,Stockholm,256 ms,220 kB/s
146.235.59.153,8443,TRUE,GRU,South America,S?o Paulo,377 ms,214 kB/s
132.226.163.224,2053,TRUE,GRU,South America,S?o Paulo,374 ms,163 kB/s
89.168.68.57,8443,TRUE,FRA,Europe,Frankfurt,296 ms,137 kB/s
146.235.59.153,2053,TRUE,GRU,South America,S?o Paulo,375 ms,102 kB/s
152.70.112.158,443,TRUE,SJC,North America,San Jose,201 ms,102 kB/s
168.138.141.235,2053,TRUE,GRU,South America,S?o Paulo,369 ms,86 kB/s
150.230.20.156,8443,TRUE,AMS,Europe,Amsterdam,289 ms,0 kB/s
141.147.61.116,8443,TRUE,FRA,Europe,Frankfurt,305 ms,0 kB/s
152.67.249.123,443,TRUE,SJC,North America,San Jose,178 ms,0 kB/s
141.144.253.109,443,TRUE,FRA,Europe,Frankfurt,297 ms,0 kB/s
141.147.161.250,443,TRUE,NRT,Asia Pacific,Tokyo,143 ms,0 kB/s
130.61.107.238,8443,TRUE,FRA,Europe,Frankfurt,294 ms,0 kB/s
129.146.134.77,443,TRUE,LAX,North America,Los Angeles,249 ms,0 kB/s
158.101.15.48,443,TRUE,LAX,North America,Los Angeles,240 ms,0 kB/s
129.159.47.255,443,TRUE,SJC,North America,San Jose,179 ms,0 kB/s
124.199.33.104,22672,TRUE,KIX,Asia Pacific,Osaka,139 ms,1084 kB/s
124.80.20.114,25177,TRUE,NRT,Asia Pacific,Tokyo,137 ms,457 kB/s
117.123.72.132,24016,TRUE,KIX,Asia Pacific,Osaka,296 ms,236 kB/s
117.123.72.132,19374,TRUE,KIX,Asia Pacific,Osaka,268 ms,19 kB/s
124.80.20.114,30059,TRUE,ICN,Asia Pacific,Seoul,118 ms,0 kB/s
124.80.75.68,15772,TRUE,NRT,Asia Pacific,Tokyo,385 ms,0 kB/s
117.123.72.132,21979,TRUE,NRT,Asia Pacific,Tokyo,267 ms,0 kB/s
13.125.218.78,443,TRUE,ICN,Asia Pacific,Seoul,115 ms,12376 kB/s
13.53.81.150,2083,TRUE,ARN,Europe,Stockholm,197 ms,8197 kB/s
204.110.220.87,80,TRUE,PDX,North America,Portland,194 ms,7969 kB/s
3.101.110.90,80,TRUE,SJC,North America,San Jose,167 ms,7936 kB/s
13.40.128.14,8443,TRUE,LHR,Europe,London,183 ms,7762 kB/s
35.167.93.200,443,TRUE,PDX,North America,Portland,202 ms,6921 kB/s
13.50.173.22,8443,TRUE,ARN,Europe,Stockholm,183 ms,6881 kB/s
204.110.223.167,80,TRUE,CMH,North America,Columbus,227 ms,5845 kB/s
204.110.220.192,80,TRUE,PDX,North America,Portland,205 ms,5794 kB/s
15.156.203.151,8443,TRUE,DFW,North America,Dallas,256 ms,5608 kB/s
18.189.139.61,443,TRUE,ORD,North America,Chicago,229 ms,5541 kB/s
204.110.221.176,80,TRUE,PDX,North America,Portland,200 ms,5167 kB/s
204.110.221.48,80,TRUE,PDX,North America,Portland,203 ms,4850 kB/s
204.110.220.79,80,TRUE,PDX,North America,Portland,224 ms,4696 kB/s
204.110.220.18,80,TRUE,PDX,North America,Portland,243 ms,4469 kB/s
3.98.54.22,8443,TRUE,YUL,North America,Montréal,253 ms,3060 kB/s
99.83.209.185,443,TRUE,IAD,North America,Ashburn,99 ms,2879 kB/s
13.53.54.176,8080,TRUE,ARN,Europe,Stockholm,186 ms,2402 kB/s
13.41.76.64,8080,TRUE,LHR,Europe,London,192 ms,2236 kB/s
204.110.223.199,80,TRUE,CMH,North America,Columbus,218 ms,1625 kB/s
13.51.55.184,2053,TRUE,ARN,Europe,Stockholm,189 ms,1096 kB/s
13.53.51.77,8080,TRUE,ARN,Europe,Stockholm,201 ms,974 kB/s
13.53.132.96,8080,TRUE,ARN,Europe,Stockholm,187 ms,518 kB/s
13.201.221.231,443,TRUE,BOM,Asia Pacific,Mumbai,305 ms,355 kB/s
44.227.22.10,443,TRUE,PDX,North America,Portland,222 ms,256 kB/s
18.135.188.86,443,TRUE,LHR,Europe,London,200 ms,108 kB/s
50.112.166.63,443,TRUE,PDX,North America,Portland,226 ms,108 kB/s
3.99.106.179,443,TRUE,DFW,North America,Dallas,252 ms,83 kB/s
3.98.73.243,443,TRUE,DFW,North America,Dallas,302 ms,70 kB/s
15.157.7.168,443,TRUE,DFW,North America,Dallas,244 ms,70 kB/s
18.189.94.250,443,TRUE,CMH,North America,Columbus,230 ms,70 kB/s
3.111.155.29,443,TRUE,BOM,Asia Pacific,Mumbai,310 ms,64 kB/s
13.49.166.245,443,TRUE,ARN,Europe,Stockholm,194 ms,16 kB/s
15.156.17.176,8443,TRUE,YUL,North America,Montréal,251 ms,0 kB/s
47.74.155.26,80,FALSE,SIN,Asia Pacific,Singapore,82 ms,21277 kB/s
47.57.245.232,80,FALSE,SJC,North America,San Jose,70 ms,374 kB/s
8.212.12.98,80,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,80 kB/s
47.57.14.118,80,FALSE,SJC,North America,San Jose,74 ms,11 kB/s
47.57.13.107,80,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,7 kB/s
35.187.229.127,80,FALSE,SIN,Asia Pacific,Singapore,110 ms,13443 kB/s
35.188.87.85,80,FALSE,ORD,North America,Chicago,261 ms,6040 kB/s
34.93.226.165,80,FALSE,BOM,Asia Pacific,Mumbai,318 ms,4211 kB/s
35.239.252.197,80,FALSE,ORD,North America,Chicago,248 ms,4157 kB/s
34.74.105.17,80,FALSE,ATL,North America,Atlanta,290 ms,2875 kB/s
34.93.79.152,80,FALSE,BOM,Asia Pacific,Mumbai,319 ms,2615 kB/s
34.160.118.77,80,FALSE,LAX,North America,Los Angeles,270 ms,2044 kB/s
35.237.154.5,80,FALSE,ATL,North America,Atlanta,272 ms,1337 kB/s
34.82.76.253,80,FALSE,SEA,North America,Seattle,306 ms,900 kB/s
35.247.124.181,80,FALSE,SEA,North America,Seattle,302 ms,801 kB/s
35.232.39.116,80,FALSE,DFW,North America,Dallas,267 ms,55 kB/s
34.145.66.39,8080,FALSE,BOM,Asia Pacific,Mumbai,503 ms,0 kB/s
